INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
215034242,07/07/2020,20:22:00,QUEENS,101,0,,False,25-44,M,BLACK,25-44,M,BLACK,1008349,186173,40.6776540480001,-73.913118648,POINT (-73.91311864799998 40.67765404800008),11233
212944540,05/11/2020,17:06:00,STATEN ISLAND,121,0,PVT HOUSE,True,45-64,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,1049837,157548,40.598874647,-73.7638229849999,POINT (-73.76382298499993 40.59887464700005),11691
216655527,08/15/2020,06:32:00,BROOKLYN,67,0,,True,25-44,F,BLACK,25-44,M,BLACK,995619,190846,40.6905058690001,-73.9590055209999,POINT (-73.95900552099994 40.69050586900005),11205
219861976,10/28/2020,14:33:00,BROOKLYN,67,0,,True,,,,<18,M,WHITE HISPANIC,1009526,183374,40.6699681420001,-73.9088857739999,POINT (-73.90888577399994 40.66996814200007),11212
215225147,07/12/2020,04:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,992459,185385,40.6755201610001,-73.97040694,POINT (-73.97040693999998 40.67552016100007),11238
207815720,01/11/2020,21:45:00,BRONX,41,0,,False,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1021234,181211,40.6639900280001,-73.866692351,POINT (-73.86669235099998 40.66399002800006),11208
215223443,07/11/2020,01:50:00,BROOKLYN,62,0,,False,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1014810,181040,40.663545173,-73.889848453,POINT (-73.88984845299996 40.663545173000045),11207
221025255,11/26/2020,11:42:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK,1001329,187143,40.680332805,-73.9384249989999,POINT (-73.93842499899995 40.68033280500004),11216
219696871,10/25/2020,02:45:00,BRONX,46,0,,False,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK,1011212,239518,40.8240642370001,-73.902582965,POINT (-73.90258296499997 40.82406423700007),10456
214449047,06/22/2020,08:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,True,,,,45-64,M,BLACK,987583,210248,40.743766388,-73.987973246,POINT (-73.98797324599997 40.74376638800004),10001
215769252,07/25/2020,11:20:00,QUEENS,114,0,,True,18-24,M,BLACK,45-64,M,WHITE HISPANIC,1006542,233378,40.8072246800001,-73.9194768849999,POINT (-73.91947688499994 40.80722468000005),10454
217315220,09/01/2020,03:57:00,BRONX,40,2,,False,,,,25-44,M,WHITE HISPANIC,1042218,185110,40.674579367,-73.791022079,POINT (-73.79102207899997 40.67457936700004),11434
212640102,05/02/2020,15:18:00,BRONX,49,0,,False,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE HISPANIC,1012551,236626,40.8161223270001,-73.8977571189999,POINT (-73.89775711899993 40.816122327000066),10455
216796482,08/19/2020,23:10:00,QUEENS,103,0,,False,,,,25-44,M,BLACK,1009060,180294,40.6615155470001,-73.910576957,POINT (-73.910576957 40.66151554700008),11212
210757629,03/09/2020,22:32:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,1031835,198890,40.7124641120001,-73.828356194,POINT (-73.82835619399998 40.71246411200008),11415
218459417,09/28/2020,21:27:00,BROOKLYN,81,0,,True,,,,18-24,M,BLACK,1005398,233706,40.808127761,-73.923608278,POINT (-73.92360827799997 40.80812776100004),10454
219684986,10/23/2020,01:03:00,BROOKLYN,81,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,25-44,M,BLACK,1011667,185397,40.67551445,-73.901159612,POINT (-73.90115961199997 40.67551445000004),11207
211663635,04/01/2020,04:18:00,BROOKLYN,77,0,PVT HOUSE,False,,,,25-44,M,BLACK,1005192,180644,40.6624862130001,-73.924517575,POINT (-73.92451757499998 40.66248621300008),11212
